Channel Id,Channel Url,Channel Title
UCuLr0QmdN899rTMCpAveJaw,http://www.youtube.com/channel/UCuLr0QmdN899rTMCpAveJaw,Melodicka Bros
UCuYRxRuTAtmeE2AiR5WWWHQ,http://www.youtube.com/channel/UCuYRxRuTAtmeE2AiR5WWWHQ,The Hillywood Show
UCue4o36_p6Oq6njkwnlkl0Q,http://www.youtube.com/channel/UCue4o36_p6Oq6njkwnlkl0Q,Public Domain Full Movies
UCwbqOKXhYrZEyMcLh4oVEIg,http://www.youtube.com/channel/UCwbqOKXhYrZEyMcLh4oVEIg,Dave Gorman
UCwkH6JNThiRg3PkSM24LXww,http://www.youtube.com/channel/UCwkH6JNThiRg3PkSM24LXww,Wrong Thought Films
UCwyCwL-apAJQjmSp5jKGzaw,http://www.youtube.com/channel/UCwyCwL-apAJQjmSp5jKGzaw,Letterkenny Problems
UCyHgrKI81xnTdzDnYI0mq2Q,http://www.youtube.com/channel/UCyHgrKI81xnTdzDnYI0mq2Q,Wil Wheaton
UCyI1D9N2OvZif9a2JhV_nrA,http://www.youtube.com/channel/UCyI1D9N2OvZif9a2JhV_nrA,Aim To Head Mix
UCyaPf0E-PRRZH3UvvxNPeEw,http://www.youtube.com/channel/UCyaPf0E-PRRZH3UvvxNPeEw,Avatar Metal
UCzI2mrHQdamwoxRfabRQO0w,http://www.youtube.com/channel/UCzI2mrHQdamwoxRfabRQO0w,James Farr
UCzb-6smlTg5UPirLdsdQ_cQ,http://www.youtube.com/channel/UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog

